Learning rate: 0.001, Optimizer: SGD, Scheduler: ExponentialLR
200 epochs in total, 10 batches per epoch
Epoch = 0, lr = [0.001, 0.0]
Epoch = 0, Epoch_Loss = 2.6641534328460694, Accuracy = 67.56756756756756
Epoch = 0, validation_Loss = 2.8768006960550943, Accuracy validation= 33.333333333333336
Epoch = 1, lr = [0.0008953382542587164, 0.0]
Epoch = 1, Epoch_Loss = 2.648799705505371, Accuracy = 67.56756756756756
Epoch = 1, validation_Loss = 2.9352521896362305, Accuracy validation= 33.333333333333336
Epoch = 2, lr = [0.0008016305895390458, 0.0]
Epoch = 2, Epoch_Loss = 2.631620979309082, Accuracy = 67.56756756756756
Epoch = 2, validation_Loss = 2.915332873662313, Accuracy validation= 33.333333333333336
Epoch = 3, lr = [0.0007177305325982749, 0.0]
Epoch = 3, Epoch_Loss = 2.6170141458511353, Accuracy = 67.56756756756756
Epoch = 3, validation_Loss = 2.8639190196990967, Accuracy validation= 33.333333333333336
Epoch = 4, lr = [0.0006426116020847181, 0.0]
Epoch = 4, Epoch_Loss = 2.60199830532074, Accuracy = 67.56756756756756
Epoch = 4, validation_Loss = 2.815847555796305, Accuracy validation= 33.333333333333336
Epoch = 5, lr = [0.0005753547499769285, 0.0]
Epoch = 5, Epoch_Loss = 2.590638303756714, Accuracy = 67.56756756756756
Epoch = 5, validation_Loss = 2.768232266108195, Accuracy validation= 58.333333333333336
Epoch = 6, lr = [0.0005151371174238034, 0.0]
Epoch = 6, Epoch_Loss = 2.5760807514190676, Accuracy = 70.27027027027027
Epoch = 6, validation_Loss = 2.7419806321461997, Accuracy validation= 75.0
Epoch = 7, lr = [0.00046122196741809544, 0.0]
Epoch = 7, Epoch_Loss = 2.5650566816329956, Accuracy = 70.27027027027027
Epoch = 7, validation_Loss = 2.747788985570272, Accuracy validation= 66.66666666666667
Epoch = 8, lr = [0.0004129496711338882, 0.0]
Epoch = 8, Epoch_Loss = 2.552326488494873, Accuracy = 70.27027027027027
Epoch = 8, validation_Loss = 2.7576125462849936, Accuracy validation= 66.66666666666667
Epoch = 9, lr = [0.00036972963764972643, 0.0]
Epoch = 9, Epoch_Loss = 2.5421757221221926, Accuracy = 70.27027027027027
Epoch = 9, validation_Loss = 2.761186679204305, Accuracy validation= 66.66666666666667
Epoch = 10, lr = [0.00033103308832101386, 0.0]
Epoch = 10, Epoch_Loss = 2.532669997215271, Accuracy = 72.97297297297297
Epoch = 10, validation_Loss = 2.7815957069396973, Accuracy validation= 66.66666666666667
Epoch = 11, lr = [0.000296386587399208, 0.0]
Epoch = 11, Epoch_Loss = 2.5230835676193237, Accuracy = 75.67567567567568
Epoch = 11, validation_Loss = 2.7719837029774985, Accuracy validation= 66.66666666666667
Epoch = 12, lr = [0.0002653662497477053, 0.0]
Epoch = 12, Epoch_Loss = 2.51519513130188, Accuracy = 72.97297297297297
Epoch = 12, validation_Loss = 2.787132740020752, Accuracy validation= 66.66666666666667
Epoch = 13, lr = [0.00023759255478829304, 0.0]
Epoch = 13, Epoch_Loss = 2.506628084182739, Accuracy = 72.97297297297297
Epoch = 13, validation_Loss = 2.785728136698405, Accuracy validation= 66.66666666666667
Epoch = 14, lr = [0.00021272570322901873, 0.0]
Epoch = 14, Epoch_Loss = 2.4990701913833617, Accuracy = 72.97297297297297
Epoch = 14, validation_Loss = 2.7918293476104736, Accuracy validation= 66.66666666666667
Epoch = 15, lr = [0.0001904614597650274, 0.0]
Epoch = 15, Epoch_Loss = 2.4918928384780883, Accuracy = 72.97297297297297
Epoch = 15, validation_Loss = 2.802968978881836, Accuracy validation= 66.66666666666667
Epoch = 16, lr = [0.00017052743088958637, 0.0]
Epoch = 16, Epoch_Loss = 2.4852717399597166, Accuracy = 72.97297297297297
Epoch = 16, validation_Loss = 2.802218039830526, Accuracy validation= 66.66666666666667
Epoch = 17, lr = [0.00015267973227590616, 0.0]
Epoch = 17, Epoch_Loss = 2.4793131828308104, Accuracy = 72.97297297297297
Epoch = 17, validation_Loss = 2.8046998977661133, Accuracy validation= 66.66666666666667
Epoch = 18, lr = [0.000136700004956598, 0.0]
Epoch = 18, Epoch_Loss = 2.4741698026657106, Accuracy = 75.67567567567568
Epoch = 18, validation_Loss = 2.8100443283716836, Accuracy validation= 66.66666666666667
Epoch = 19, lr = [0.00012239274379499833, 0.0]
Epoch = 19, Epoch_Loss = 2.4689583778381348, Accuracy = 78.37837837837837
Epoch = 19, validation_Loss = 2.812632123629252, Accuracy validation= 66.66666666666667
Epoch = 20, lr = [0.00010958290556334815, 0.0]
Epoch = 20, Epoch_Loss = 2.4643940210342405, Accuracy = 78.37837837837837
Epoch = 20, validation_Loss = 2.8142857551574707, Accuracy validation= 66.66666666666667
Epoch = 21, lr = [9.811376736368591e-05, 0.0]
Epoch = 21, Epoch_Loss = 2.4602344036102295, Accuracy = 78.37837837837837
Epoch = 21, validation_Loss = 2.816575010617574, Accuracy validation= 66.66666666666667
Epoch = 22, lr = [8.784500919014835e-05, 0.0]
Epoch = 22, Epoch_Loss = 2.4564990520477297, Accuracy = 78.37837837837837
Epoch = 22, validation_Loss = 2.8202420473098755, Accuracy validation= 66.66666666666667
Epoch = 23, lr = [7.865099717364833e-05, 0.0]
Epoch = 23, Epoch_Loss = 2.453208899497986, Accuracy = 81.08108108108108
Epoch = 23, validation_Loss = 2.822970747947693, Accuracy validation= 66.66666666666667
Epoch = 24, lr = [7.041924650516153e-05, 0.0]
Epoch = 24, Epoch_Loss = 2.4501060485839843, Accuracy = 81.08108108108108
Epoch = 24, validation_Loss = 2.824661374092102, Accuracy validation= 66.66666666666667
Epoch = 25, lr = [6.304904523214554e-05, 0.0]
Epoch = 25, Epoch_Loss = 2.4473385572433473, Accuracy = 81.08108108108108
Epoch = 25, validation_Loss = 2.8270591100056968, Accuracy validation= 66.66666666666667
Epoch = 26, lr = [5.645022209082803e-05, 0.0]
Epoch = 26, Epoch_Loss = 2.444825029373169, Accuracy = 81.08108108108108
