Learning rate: 0.001, Optimizer: Adam, Scheduler: NoneType
100 epochs in total, 108 batches per epoch
Epoch = 0, lr = 0.001
Epoch = 0, Acc = 0.0
Epoch = 0, Epoch_Loss = 3.2635310457812414
Epoch = 1, lr = 0.001
Epoch = 1, Acc = 0.0
Epoch = 1, Epoch_Loss = 3.164257447200793
Epoch = 2, lr = 0.001
Epoch = 2, Acc = 0.0
Epoch = 2, Epoch_Loss = 3.13558257288403
Epoch = 3, lr = 0.001
Epoch = 3, Acc = 0.0
Epoch = 3, Epoch_Loss = 3.093298582567109
Epoch = 4, lr = 0.001
Epoch = 4, Acc = 0.0
Epoch = 4, Epoch_Loss = 3.089519263141685
Epoch = 5, lr = 0.001
Epoch = 5, Acc = 0.0
Epoch = 5, Epoch_Loss = 3.0338873631424375
Epoch = 6, lr = 0.001
Epoch = 6, Acc = 0.0
Epoch = 6, Epoch_Loss = 2.999950459709874
Epoch = 7, lr = 0.001
Epoch = 7, Acc = 0.0
Epoch = 7, Epoch_Loss = 2.967451940532084
Epoch = 8, lr = 0.001
Epoch = 8, Acc = 0.0
Epoch = 8, Epoch_Loss = 2.9274391010403633
Epoch = 9, lr = 0.001
Epoch = 9, Acc = 0.0
Epoch = 9, Epoch_Loss = 2.8922712526939534
Epoch = 10, lr = 0.001
Epoch = 10, Acc = 0.0
Epoch = 10, Epoch_Loss = 2.8554333180741027
Epoch = 11, lr = 0.001
Epoch = 11, Acc = 0.0
Epoch = 11, Epoch_Loss = 2.812852662194658
Epoch = 12, lr = 0.001
Epoch = 12, Acc = 0.0
Epoch = 12, Epoch_Loss = 2.76994622140019
Epoch = 13, lr = 0.001
Epoch = 13, Acc = 0.0
Epoch = 13, Epoch_Loss = 2.7264890668016895
Epoch = 14, lr = 0.001
Epoch = 14, Acc = 0.0
Epoch = 14, Epoch_Loss = 2.688752429352866
Epoch = 15, lr = 0.001
Epoch = 15, Acc = 0.0
Epoch = 15, Epoch_Loss = 2.6582977624127158
Epoch = 16, lr = 0.001
Epoch = 16, Acc = 0.0
Epoch = 16, Epoch_Loss = 2.6184145457766674
Epoch = 17, lr = 0.001
Epoch = 17, Acc = 0.0
Epoch = 17, Epoch_Loss = 2.5754293537250272
Epoch = 18, lr = 0.001
Epoch = 18, Acc = 0.0
Epoch = 18, Epoch_Loss = 2.516512071920766
Epoch = 19, lr = 0.001
Epoch = 19, Acc = 0.0
Epoch = 19, Epoch_Loss = 2.457915013311086
Epoch = 20, lr = 0.001
Epoch = 20, Acc = 0.5565862708719852
Epoch = 20, Epoch_Loss = 2.397788409833555
Epoch = 21, lr = 0.001
Epoch = 21, Acc = 0.5565862708719852
Epoch = 21, Epoch_Loss = 2.332331697560019
Epoch = 22, lr = 0.001
Epoch = 22, Acc = 0.5565862708719852
Epoch = 22, Epoch_Loss = 2.2657712921500206
Epoch = 23, lr = 0.001
Epoch = 23, Acc = 0.7421150278293135
Epoch = 23, Epoch_Loss = 2.2037066712423607
Epoch = 24, lr = 0.001
Epoch = 24, Acc = 0.7421150278293135
Epoch = 24, Epoch_Loss = 2.1387516410538443
Epoch = 25, lr = 0.001
Epoch = 25, Acc = 0.7421150278293135
Epoch = 25, Epoch_Loss = 2.0691813976952322
Epoch = 26, lr = 0.001
Epoch = 26, Acc = 0.7421150278293135
Epoch = 26, Epoch_Loss = 1.983864971747001
Epoch = 27, lr = 0.001
Epoch = 27, Acc = 0.7421150278293135
Epoch = 27, Epoch_Loss = 1.9101252531011899
Epoch = 28, lr = 0.001
Epoch = 28, Acc = 0.7421150278293135
Epoch = 28, Epoch_Loss = 1.8302732257655374
Epoch = 29, lr = 0.001
Epoch = 29, Acc = 0.7421150278293135
Epoch = 29, Epoch_Loss = 1.7283279904060893
Epoch = 30, lr = 0.001
Epoch = 30, Acc = 0.7421150278293135
Epoch = 30, Epoch_Loss = 1.6416518259103652
Epoch = 31, lr = 0.001
Epoch = 31, Acc = 0.7421150278293135
Epoch = 31, Epoch_Loss = 1.5502412762078974
Epoch = 32, lr = 0.001
Epoch = 32, Acc = 0.7421150278293135
Epoch = 32, Epoch_Loss = 1.4506232027930241
Epoch = 33, lr = 0.001
Epoch = 33, Acc = 0.7421150278293135
Epoch = 33, Epoch_Loss = 1.3635303673368913
Epoch = 34, lr = 0.001
Epoch = 34, Acc = 0.7421150278293135
Epoch = 34, Epoch_Loss = 1.2867678995071739
Epoch = 35, lr = 0.001
Epoch = 35, Acc = 0.7421150278293135
Epoch = 35, Epoch_Loss = 1.197726533713716
Epoch = 36, lr = 0.001
Epoch = 36, Acc = 0.7421150278293135
Epoch = 36, Epoch_Loss = 1.112964593425945
Epoch = 37, lr = 0.001
Epoch = 37, Acc = 0.7421150278293135
Epoch = 37, Epoch_Loss = 1.0192657908838656
Epoch = 38, lr = 0.001
Epoch = 38, Acc = 0.7421150278293135
Epoch = 38, Epoch_Loss = 0.948646330723056
Epoch = 39, lr = 0.001
Epoch = 39, Acc = 0.7421150278293135
Epoch = 39, Epoch_Loss = 0.8777112048119307
Epoch = 40, lr = 0.001
Epoch = 40, Acc = 0.7421150278293135
Epoch = 40, Epoch_Loss = 0.8791935267961688
Epoch = 41, lr = 0.001
Epoch = 41, Acc = 0.7421150278293135
Epoch = 41, Epoch_Loss = 0.8382733590486977
Epoch = 42, lr = 0.001
Epoch = 42, Acc = 0.7421150278293135
Epoch = 42, Epoch_Loss = 0.7082745776063314
Epoch = 43, lr = 0.001
Epoch = 43, Acc = 0.7421150278293135
Epoch = 43, Epoch_Loss = 0.6274064875173347
Epoch = 44, lr = 0.001
Epoch = 44, Acc = 0.7421150278293135
Epoch = 44, Epoch_Loss = 0.5526182591846144
Epoch = 45, lr = 0.001
Epoch = 45, Acc = 0.7421150278293135
Epoch = 45, Epoch_Loss = 0.5066570317096732
Epoch = 46, lr = 0.001
Epoch = 46, Acc = 0.7421150278293135
Epoch = 46, Epoch_Loss = 0.4588671175211116
Epoch = 47, lr = 0.001
Epoch = 47, Acc = 0.7421150278293135
Epoch = 47, Epoch_Loss = 0.4212365556439316
Epoch = 48, lr = 0.001
Epoch = 48, Acc = 0.7421150278293135
Epoch = 48, Epoch_Loss = 0.3848198718494839
Epoch = 49, lr = 0.001
Epoch = 49, Acc = 0.7421150278293135
Epoch = 49, Epoch_Loss = 0.35440192579429736
Epoch = 50, lr = 0.001
Epoch = 50, Acc = 0.7421150278293135
Epoch = 50, Epoch_Loss = 0.32806785824639656
Epoch = 51, lr = 0.001
Epoch = 51, Acc = 0.7421150278293135
Epoch = 51, Epoch_Loss = 0.30395814381470837
Epoch = 52, lr = 0.001
Epoch = 52, Acc = 0.7421150278293135
Epoch = 52, Epoch_Loss = 0.2825827421448021
Epoch = 53, lr = 0.001
Epoch = 53, Acc = 0.7421150278293135
Epoch = 53, Epoch_Loss = 0.2636112790572009
Epoch = 54, lr = 0.001
Epoch = 54, Acc = 0.7421150278293135
Epoch = 54, Epoch_Loss = 0.2459652790437556
Epoch = 55, lr = 0.001
Epoch = 55, Acc = 0.7421150278293135
Epoch = 55, Epoch_Loss = 0.23099570569616776
Epoch = 56, lr = 0.001
Epoch = 56, Acc = 0.7421150278293135
Epoch = 56, Epoch_Loss = 0.22078911415991131
