Learning rate: 0.001, Optimizer: Adam, Scheduler: NoneType
100 epochs in total, 10 batches per epoch
Epoch = 0, lr = 0.001
Epoch = 0, Acc = 2.0408163265306123
Epoch = 0, Epoch_Loss = 4.2220374047756195
Epoch = 1, lr = 0.001
Epoch = 1, Acc = 0.0
Epoch = 1, Epoch_Loss = 3.469214677810669
Epoch = 2, lr = 0.001
Epoch = 2, Acc = 0.0
Epoch = 2, Epoch_Loss = 3.011950373649597
Epoch = 3, lr = 0.001
Epoch = 3, Acc = 0.0
Epoch = 3, Epoch_Loss = 2.8309611827135086
Epoch = 4, lr = 0.001
Epoch = 4, Acc = 0.0
Epoch = 4, Epoch_Loss = 2.7113925367593765
Epoch = 5, lr = 0.001
