Learning rate: 0.001, Optimizer: Adam, Scheduler: NoneType
100 epochs in total, 10 batches per epoch
Epoch = 0, lr = 0.001
Epoch = 0, Acc = 67.34693877551021
Epoch = 0, Epoch_Loss = 3.3149802684783936
Epoch = 1, lr = 0.001
Epoch = 1, Acc = 67.34693877551021
Epoch = 1, Epoch_Loss = 3.2502925992012024
Epoch = 2, lr = 0.001
Epoch = 2, Acc = 67.34693877551021
Epoch = 2, Epoch_Loss = 3.2140566408634186
Epoch = 3, lr = 0.001
Epoch = 3, Acc = 67.34693877551021
Epoch = 3, Epoch_Loss = 3.167805999517441
Epoch = 4, lr = 0.001
Epoch = 4, Acc = 69.38775510204081
Epoch = 4, Epoch_Loss = 3.1007281243801117
Epoch = 5, lr = 0.001
Epoch = 5, Acc = 75.51020408163265
Epoch = 5, Epoch_Loss = 3.011849582195282
Epoch = 6, lr = 0.001
Epoch = 6, Acc = 79.59183673469387
Epoch = 6, Epoch_Loss = 2.854596495628357
Epoch = 7, lr = 0.001
Epoch = 7, Acc = 75.51020408163265
Epoch = 7, Epoch_Loss = 2.719169184565544
Epoch = 8, lr = 0.001
Epoch = 8, Acc = 75.51020408163265
Epoch = 8, Epoch_Loss = 2.5798788964748383
Epoch = 9, lr = 0.001
Epoch = 9, Acc = 77.55102040816327
Epoch = 9, Epoch_Loss = 2.447069376707077
Epoch = 10, lr = 0.001
Epoch = 10, Acc = 79.59183673469387
Epoch = 10, Epoch_Loss = 2.326812170445919
Epoch = 11, lr = 0.001
Epoch = 11, Acc = 79.59183673469387
Epoch = 11, Epoch_Loss = 2.1876747757196426
Epoch = 12, lr = 0.001
Epoch = 12, Acc = 85.71428571428571
Epoch = 12, Epoch_Loss = 2.0861605405807495
Epoch = 13, lr = 0.001
Epoch = 13, Acc = 79.59183673469387
Epoch = 13, Epoch_Loss = 1.9747646525502205
Epoch = 14, lr = 0.001
Epoch = 14, Acc = 85.71428571428571
Epoch = 14, Epoch_Loss = 1.9600128680467606
Epoch = 15, lr = 0.001
Epoch = 15, Acc = 79.59183673469387
Epoch = 15, Epoch_Loss = 2.085923559963703
Epoch = 16, lr = 0.001
Epoch = 16, Acc = 87.75510204081633
Epoch = 16, Epoch_Loss = 2.019041895866394
Epoch = 17, lr = 0.001
Epoch = 17, Acc = 87.75510204081633
Epoch = 17, Epoch_Loss = 1.8402534648776054
Epoch = 18, lr = 0.001
Epoch = 18, Acc = 93.87755102040816
Epoch = 18, Epoch_Loss = 1.6478009894490242
Epoch = 19, lr = 0.001
Epoch = 19, Acc = 95.91836734693878
Epoch = 19, Epoch_Loss = 1.5945524089038372
Epoch = 20, lr = 0.001
Epoch = 20, Acc = 93.87755102040816
Epoch = 20, Epoch_Loss = 1.6117376275360584
Epoch = 21, lr = 0.001
Epoch = 21, Acc = 95.91836734693878
Epoch = 21, Epoch_Loss = 1.477456521242857
Epoch = 22, lr = 0.001
Epoch = 22, Acc = 97.95918367346938
Epoch = 22, Epoch_Loss = 1.4988758452236652
Epoch = 23, lr = 0.001
Epoch = 23, Acc = 91.83673469387755
Epoch = 23, Epoch_Loss = 1.533424448221922
Epoch = 24, lr = 0.001
Epoch = 24, Acc = 97.95918367346938
Epoch = 24, Epoch_Loss = 1.4054240547120571
Epoch = 25, lr = 0.001
Epoch = 25, Acc = 95.91836734693878
Epoch = 25, Epoch_Loss = 1.4078755863010883
Epoch = 26, lr = 0.001
Epoch = 26, Acc = 95.91836734693878
Epoch = 26, Epoch_Loss = 1.3154905773699284
Epoch = 27, lr = 0.001
Epoch = 27, Acc = 95.91836734693878
Epoch = 27, Epoch_Loss = 1.375342607498169
Epoch = 28, lr = 0.001
Epoch = 28, Acc = 95.91836734693878
Epoch = 28, Epoch_Loss = 1.3306902907788754
Epoch = 29, lr = 0.001
Epoch = 29, Acc = 100.0
Epoch = 29, Epoch_Loss = 1.2390196621418
Epoch = 30, lr = 0.001
Epoch = 30, Acc = 97.95918367346938
Epoch = 30, Epoch_Loss = 1.1970089003443718
Epoch = 31, lr = 0.001
Epoch = 31, Acc = 100.0
Epoch = 31, Epoch_Loss = 1.1443861052393913
Epoch = 32, lr = 0.001
Epoch = 32, Acc = 95.91836734693878
Epoch = 32, Epoch_Loss = 1.1706844866275787
Epoch = 33, lr = 0.001
Epoch = 33, Acc = 100.0
Epoch = 33, Epoch_Loss = 1.1190934255719185
Epoch = 34, lr = 0.001
Epoch = 34, Acc = 100.0
Epoch = 34, Epoch_Loss = 1.1563028655946255
Epoch = 35, lr = 0.001
Epoch = 35, Acc = 100.0
Epoch = 35, Epoch_Loss = 1.1474700719118118
Epoch = 36, lr = 0.001
Epoch = 36, Acc = 100.0
Epoch = 36, Epoch_Loss = 1.0656577944755554
Epoch = 37, lr = 0.001
Epoch = 37, Acc = 97.95918367346938
Epoch = 37, Epoch_Loss = 1.0108283907175064
Epoch = 38, lr = 0.001
Epoch = 38, Acc = 100.0
Epoch = 38, Epoch_Loss = 0.9464616905897856
Epoch = 39, lr = 0.001
Epoch = 39, Acc = 100.0
Epoch = 39, Epoch_Loss = 0.9216352701187134
Epoch = 40, lr = 0.001
Epoch = 40, Acc = 100.0
Epoch = 40, Epoch_Loss = 0.9197007324546576
Epoch = 41, lr = 0.001
Epoch = 41, Acc = 100.0
Epoch = 41, Epoch_Loss = 0.9304149895906448
Epoch = 42, lr = 0.001
Epoch = 42, Acc = 100.0
Epoch = 42, Epoch_Loss = 0.9061002116650343
Epoch = 43, lr = 0.001
Epoch = 43, Acc = 100.0
Epoch = 43, Epoch_Loss = 0.8857817519456148
Epoch = 44, lr = 0.001
Epoch = 44, Acc = 100.0
Epoch = 44, Epoch_Loss = 0.8472930788993835
Epoch = 45, lr = 0.001
Epoch = 45, Acc = 100.0
Epoch = 45, Epoch_Loss = 0.8447153605520725
Epoch = 46, lr = 0.001
Epoch = 46, Acc = 100.0
Epoch = 46, Epoch_Loss = 0.8401660844683647
Epoch = 47, lr = 0.001
Epoch = 47, Acc = 100.0
Epoch = 47, Epoch_Loss = 0.8362137880176306
Epoch = 48, lr = 0.001
Epoch = 48, Acc = 100.0
Epoch = 48, Epoch_Loss = 0.8205843232572079
Epoch = 49, lr = 0.001
Epoch = 49, Acc = 100.0
Epoch = 49, Epoch_Loss = 0.8113130740821362
Epoch = 50, lr = 0.001
Epoch = 50, Acc = 100.0
Epoch = 50, Epoch_Loss = 0.7763701528310776
Epoch = 51, lr = 0.001
Epoch = 51, Acc = 100.0
Epoch = 51, Epoch_Loss = 0.7843232974410057
Epoch = 52, lr = 0.001
Epoch = 52, Acc = 100.0
Epoch = 52, Epoch_Loss = 0.822657810524106
Epoch = 53, lr = 0.001
Epoch = 53, Acc = 100.0
Epoch = 53, Epoch_Loss = 0.7873607389628887
Epoch = 54, lr = 0.001
Epoch = 54, Acc = 100.0
Epoch = 54, Epoch_Loss = 0.7636140715330839
Epoch = 55, lr = 0.001
Epoch = 55, Acc = 100.0
Epoch = 55, Epoch_Loss = 0.7462281752377748
Epoch = 56, lr = 0.001
Epoch = 56, Acc = 100.0
Epoch = 56, Epoch_Loss = 0.7256867531687021
Epoch = 57, lr = 0.001
Epoch = 57, Acc = 100.0
Epoch = 57, Epoch_Loss = 0.7282971851527691
Epoch = 58, lr = 0.001
Epoch = 58, Acc = 100.0
Epoch = 58, Epoch_Loss = 0.7198849227279425
Epoch = 59, lr = 0.001
Epoch = 59, Acc = 100.0
Epoch = 59, Epoch_Loss = 0.6832976695150137
Epoch = 60, lr = 0.001
Epoch = 60, Acc = 100.0
Epoch = 60, Epoch_Loss = 0.6479498771950603
Epoch = 61, lr = 0.001
Epoch = 61, Acc = 100.0
Epoch = 61, Epoch_Loss = 0.626070692203939
Epoch = 62, lr = 0.001
Epoch = 62, Acc = 100.0
Epoch = 62, Epoch_Loss = 0.6111742965877056
Epoch = 63, lr = 0.001
Epoch = 63, Acc = 100.0
Epoch = 63, Epoch_Loss = 0.5986602576449513
Epoch = 64, lr = 0.001
Epoch = 64, Acc = 100.0
Epoch = 64, Epoch_Loss = 0.5850517535582185
Epoch = 65, lr = 0.001
Epoch = 65, Acc = 100.0
Epoch = 65, Epoch_Loss = 0.5869491258636117
Epoch = 66, lr = 0.001
Epoch = 66, Acc = 100.0
Epoch = 66, Epoch_Loss = 0.6086085457354784
Epoch = 67, lr = 0.001
Epoch = 67, Acc = 100.0
Epoch = 67, Epoch_Loss = 0.5907081747427583
Epoch = 68, lr = 0.001
Epoch = 68, Acc = 100.0
Epoch = 68, Epoch_Loss = 0.5844322824850678
Epoch = 69, lr = 0.001
Epoch = 69, Acc = 100.0
Epoch = 69, Epoch_Loss = 0.5731987990438938
Epoch = 70, lr = 0.001
Epoch = 70, Acc = 100.0
Epoch = 70, Epoch_Loss = 0.5504459282383323
Epoch = 71, lr = 0.001
Epoch = 71, Acc = 100.0
Epoch = 71, Epoch_Loss = 0.5366022754460573
Epoch = 72, lr = 0.001
Epoch = 72, Acc = 100.0
Epoch = 72, Epoch_Loss = 0.5273700663819909
Epoch = 73, lr = 0.001
Epoch = 73, Acc = 100.0
Epoch = 73, Epoch_Loss = 0.5026569729670882
Epoch = 74, lr = 0.001
Epoch = 74, Acc = 100.0
Epoch = 74, Epoch_Loss = 0.5008033365011215
